security_code,issuer_name,security_id,security_name,status,group,face_value,isin_number,industry,sector_name,group_name,sub_group_name
500002,abb india limited,abb,abb india limited,Active,A,2,ine117a01022,capital goods,industrials,electrical equipment,heavy electrical equipment
500003,aegis logistics ltd.,aegislog,aegis logistics ltd.,Active,A,1,ine208c01025,"oil, gas & consumable fuels",energy,gas,trading - gas
500008,amara raja batteries ltd,amarajabat,amara raja batteries ltd.,Active,A,1,ine885a01032,automobile and auto components,consumer discretionary,auto components,batteries - automobile
500009,ambalal sarabhai enterprise ltd.,ambalalsa,ambalal sarabhai enterprises ltd.,Active,X,10,ine432a01017,healthcare,healthcare,pharmaceuticals & biotechnology,pharmaceuticals
500010,housing development finance corp.lt,hdfc,housing development finance corp.ltd.,Active,A,2,ine001a01036,financial services,financial services,finance,housing finance company
500012,andhra petrochemicals ltd.,andhrapet,andhra petrochemicals ltd.,Active,B,10,ine714b01016,chemicals,commodities,chemicals & petrochemicals,commodity chemicals
500013,ansal properties & infrastructure ltd.,ansalapi,ansal properties & infrastructure ltd.,Active,B,5,ine436a01026,realty,consumer discretionary,realty,residential commercial projects
500014,utique enterprises limited,utique,utique enterprises ltd,Active,X,10,ine096a01010,financial services,financial services,finance,non banking financial company (nbfc)
500016,aruna hotels ltd.,arunahtel,aruna hotels ltd.,Active,X,10,ine957c01019,consumer services,consumer discretionary,leisure services,hotels & resorts
500020,bombay dyeing & mfg. co. ltd.,bomdyeing,bombay dyeing & mfg.co.ltd.,Active,A,2,ine032a01023,textiles,consumer discretionary,textiles & apparels,other textile products
500023,asian hotels (north) limited,asianhotnr,asian hotels (north) limited,Active,B,10,ine363a01022,consumer services,consumer discretionary,leisure services,hotels & resorts
500027,atul limited.,atul,atul ltd.,Active,A,10,ine100a01010,chemicals,commodities,chemicals & petrochemicals,specialty chemicals
500028,atv projects india ltd,atvpr,atv projects india ltd.,Active,XT,10,ine447a01015,capital goods,industrials,industrial manufacturing,industrial equipments
500031,bajaj electricals ltd.,bajajelec,bajaj electricals ltd.,Active,A,2,ine193e01025,consumer durables,consumer discretionary,consumer durables,household appliances
500032,bajaj hindusthan sugar limited,bajajhind,bajaj hindusthan sugar limited,Active,A,1,ine306a01021,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,sugar
500033,force motors limited,forcemot,force motors ltd.,Active,A,10,ine451a01017,automobile and auto components,consumer discretionary,automobiles,passenger cars & utility vehicles
500034,bajaj finance limited,bajfinance,bajaj finance limited,Active,A,2,ine296a01024,financial services,financial services,finance,non banking financial company (nbfc)
500038,balrampur chini mills ltd.,balramchin,balrampur chini mills ltd.,Active,A,1,ine119a01028,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,sugar
500039,banco products (india) ltd.,bancoindia,banco products (india) ltd.,Active,B,2,ine213c01025,automobile and auto components,consumer discretionary,auto components,auto components & equipments
500040,century textiles & industries ltd.,centurytex,century textiles & industries ltd.,Active,A,10,ine055a01016,forest materials,commodities,paper forest & jute products,paper & paper products
500041,bannari amman sugars ltd.,banarisug,bannari amman sugars ltd.,Active,A,10,ine459a01010,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,sugar
500042,basf india ltd,basf,basf india ltd.,Active,A,10,ine373a01013,chemicals,commodities,chemicals & petrochemicals,specialty chemicals
500043,bata india limited,bataindia,bata india ltd.,Active,A,5,ine176a01028,consumer durables,consumer discretionary,consumer durables,footwear
500048,beml ltd,beml,beml ltd.,Active,A,10,ine258a01016,capital goods,industrials,agricultural commercial & construction vehicles,construction vehicles
500049,bharat electronics ltd.,bel,bharat electronics ltd.,Active,A,1,ine263a01024,capital goods,industrials,aerospace & defense,aerospace & defense
500052,bhansali engineering polymers ltd.,bepl,bhansali engineering polymers ltd.,Active,A,1,ine922a01025,chemicals,commodities,chemicals & petrochemicals,specialty chemicals
500058,bihar sponge iron ltd,bihspong,bihar sponge iron ltd.,Active,XT,10,ine819c01011,metals & mining,commodities,ferrous metals,sponge iron
500060,birla cable limited,birlacable,birla cable ltd,Active,B,10,ine800a01015,telecommunication,telecommunication,telecom - equipment & accessories,telecom - equipment & accessories
500067,blue star ltd,bluestarco,blue star ltd.,Active,A,2,ine472a01039,consumer durables,consumer discretionary,consumer durables,air conditioner
500068,disa india ltd.,disaq,disa india ltd.,Active,X,10,ine131c01011,capital goods,industrials,industrial manufacturing,industrial machinery
500069,quest capital markets limited,questcap,quest capital markets ltd,Active,X,10,ine418c01012,financial services,financial services,capital markets,other capital market related services
500074,bpl ltd.,bpl,bpl ltd.,Active,B,10,ine110a01019,consumer durables,consumer discretionary,consumer durables,consumer electronics
500078,oriental aromatics limited,oal,oriental aromatics ltd,Active,B,5,ine959c01023,chemicals,commodities,chemicals & petrochemicals,specialty chemicals
500083,century extrusions ltd.,centext,century extrusions ltd.,Active,B,1,ine281a01026,capital goods,industrials,industrial products,aluminium copper & zinc products
